pickup point,last part
"""plot 127 , rd 6 block b , bashundhara r/a""","""bashundhara r/a"""
"""rupnagar pallabi dhaka , block e, banani""","""banani"""
"""asian tower, nikunja 2""","""nikunja 2"""
"""p& t 338/11/kv substation , dpdc santinagar , kakrail""","""kakrail"""
"""71,middle paikpara,mukti housing,moddho paikpara""","""moddho paikpara"""
"""sohel automobile workshop , kallyanpur , mirpur""","""mirpur"""
"""green life medical college hospital,32,green road,dhanmondi""","""dhanmondi"""
"""hazrat shahjalal airport jame masjid,hazrat shahjalal international airport,kurmitola""","""kurmitola"""
"""cardiff international school , h 11, rd 28 , dhanmondi""","""dhanmondi"""
"""r k air conditioning,south badda""","""south badda"""
"""eastern flower , 46 , seiddheswari road wireless , paltan""","""paltan"""
"""pan pacific sonargaon,kazi nazrul islam ave,kawranbazar""","""kawranbazar"""
"""road no 16,block a, bashundhara r/a""","""bashundhara r/a"""
"""bashai medical , tajmahal road , mohammadpur""","""mohammadpur"""
"""amecon niaz metallic,block f,banani""","""banani"""
"""turkish bazar & restaurant , 48 road 13c banani""","""48 road 13c banani"""
"""tamanna pharmacy,565,north kafrul road,south kafrul,paschim kafrul""","""paschim kafrul"""
"""rafi food corner , jamuna future park , bashundhara r/a""","""bashundhara r/a"""
"""rd 4 a,sector 5,uttara""","""uttara"""
"""judge  hamid foundation , adabar mohammadpur""","""adabar mohammadpur"""
"""dhaka m i circle,sech bhaban,sobhanbag,manik mia avenue""","""manik mia avenue"""
"""arafat enterprise,gulshan 1,gulshan""","""gulshan"""
"""sonali bank ltd atm,shahid sarani,dhamalkot,dhaka cantonment""","""dhaka cantonment"""
"""dewan corporation,block c,banani""","""banani"""
"""solstice,rupayan pearl,house 29,road 121,gulshan 1,gulshan""","""gulshan"""
"""dine a chaap,road 16/a,gulshan""","""gulshan"""
"""swapnil tower,shaheed sarani,dhaka cantonment""","""dhaka cantonment"""
"""tea and drinking stalls,diyabari,uttara""","""uttara"""
"""ahmed hossain architects and associates,sector 5,uttara""","""uttara"""
"""falcon homes ltd,block k,baridhara""","""baridhara"""
"""sultana razia road purbo  arichpur tongi""","""sultana razia road purbo  arichpur tongi"""
"""judge hamid foundation , adabar ,mohammadpur""","""mohammadpur"""
"""hussain villa,house 4,road 11,sector 12,uttara""","""uttara"""
"""well food head office , vip road , mohakhali dohs""","""mohakhali dohs"""
"""mugdapara , sabujbag""","""sabujbag"""
"""cafe malancha,bangladesh army hq""","""bangladesh army hq"""
"""mtb atm . 24 7 , kakrail , ramna""","""ramna"""
"""house 57,road 5,sector 12,uttara""","""uttara"""
"""north end cofee roasters,apollo hospital,bashundhara r/a""","""bashundhara r/a"""
"""mistrytech engineering ltd , sector 9""","""sector 9"""
"""ln 9 , mohakhali dohs""","""mohakhali dohs"""
"""mitali optics , muktobangla shopping complex , mirpur 1""","""mirpur 1"""
"""nafa pharmachy,h 9,rd 17,banani""","""banani"""
"""mirpur government housing area,rupnagar residential area""","""rupnagar residential area"""
"""premier bank ltd,rd 2/b,natun bazar""","""natun bazar"""
"""bahera,landmark tower,/14,gulshan north avenue,gulshan 2,gulshan""","""gulshan"""
"""bonolota shop,block a,mirpur 12""","""mirpur 12"""
"""al,manar specialized hospital,block f,lalmatia""","""lalmatia"""
"""care medical hall,212,new elephant road,dhanmondi""","""dhanmondi"""
"""ak plaza,sonargaon janapath road,sector 7,uttara""","""uttara"""
"""badhon community centre,bangabandhu sarak,narayanganj sadar,narayanganj 1400""","""narayanganj 1400"""
"""khaleque apartments,bagbari,gabtali""","""gabtali"""
"""zihan ambulance,katashur,mohammadpur""","""mohammadpur"""
"""jalkury,godenail,narayanganj 1400""","""narayanganj 1400"""
"""shiblu medicine corner,tekpara,north badda""","""north badda"""
"""h 229,satarku; rd,bawaila para,badda""","""badda"""
"""kuril bishwa road,bus stop, pragati sarani,nikunja 1,badda""","""badda"""
"""bismillah pharmacy,38/c,rd 7,abdul rafiq housing,adabor""","""adabor"""
"""324,south paikpara,road 5,block a,mukti housing,moddho paikpara""","""moddho paikpara"""
"""kabir store,west nakhapara,tejgaon""","""tejgaon"""
"""ekhane kuttaleague thake,folpotti golchottor,mirpur""","""mirpur"""
"""ayesha abed library,brac university,south badda""","""south badda"""
"""bonolota shop,block a,mirpur 12""","""mirpur 12"""
"""al manar specialized hospital,block f,lalmatia""","""lalmatia"""
"""faizur rahman ideal institute,bosila road,keraniganj subdistrict""","""keraniganj subdistrict"""
"""brtc mohammadpur bus stop,bashbari rd,mohammadpur""","""mohammadpur"""
"""akota engineering works,mir haribag,jatrabari""","""jatrabari"""
"""bikrampur plaza,postogola railgate""","""postogola railgate"""
"""hazrat shahjalal international airport,terminal 1,airport road,new airport road,kurmitola,sector 2""","""sector 2"""
"""ak plaza,sonargaon janapath road,sector 7,uttara""","""uttara"""
"""sultana razia school,arshinagar,washpur""","""washpur"""
"""shawon general store,203,satish sarker road,bangladesh bank colony""","""bangladesh bank colony"""
"""machine made brick ,block h , banani""","""banani"""
"""ma-navi ltd , dohs , mirpur""","""mirpur"""
"""1 ,road 12 sector 1 , kurmitola , sector 1""","""sector 1"""
"""jamuna pharmacy , h 9 , tara medical rd , mohammadia society , mirpur 10""","""mirpur 10"""
"""international terminal , new airport road , kurmitola , sector 2""","""sector 2"""
"""abdul hamid tea state , eskaton garden road , ramna""","""ramna"""
"""bangladesh vietnam chamber of commerce & industry ( bvcci ), industrial area""","""industrial area"""
"""shafiquat niketon , h 147 , rd 1 , mohammadi housing society , mohammadpur""","""mohammadpur"""
"""64 , raja bazar indira road , dhanmondi""","""dhanmondi"""
"""anwar khan modern medical college , rd 7 , dhanmondi""","""dhanmondi"""
"""regal furnishing , dit circle , gulshan ave , gulshan 2""","""gulshan 2"""
"""barishal store , sadarghat launch terminal""","""sadarghat launch terminal"""
"""ladies fashion , khilkhet bazar""","""khilkhet bazar"""
"""student heaven hostel , sector 10 , uttara""","""uttara"""
"""roseate , 500 , road 1 , block d , basundhara r/a""","""basundhara r/a"""
"""camera source , sobhan bag , dhanmondi""","""dhanmondi"""
"""metro shopping mall , residential area , dhanmondi""","""dhanmondi"""
"""lira import , bir uttam mir shawkat sarak , gulshan 1 , gulshan""","""gulshan"""
"""rodeo accessories shop , shyamoli mohammadpur""","""shyamoli mohammadpur"""
"""meyor mohammad sayed khokon center , distilary road , gopibag , daya ganj""","""daya ganj"""
"""fahim general store , h 53 , rd 27 , banani""","""banani"""
"""chinton architects , gulshan 2 , gulshan""","""gulshan"""
"""aroneer , adabar , mohammadpur""","""mohammadpur"""
"""social islami bank limited atm , block d , bashundhara r/a""","""bashundhara r/a"""
"""bangladesh betar , justice syed mahbub morshed avenue , taltola , sher e bangla nagar""","""sher e bangla nagar"""
"""house 42 , roadf 13 sector 14 uttara""","""roadf 13 sector 14 uttara"""
"""pallabi ext. gate 2""","""pallabi ext. gate 2"""
"""bismillah general store , mazar rd ,darus salam""","""darus salam"""
"""md rakib howlader , green road , dhanmondi""","""dhanmondi"""
"""asad ave , asad ave block e mohammadpur""","""asad ave block e mohammadpur"""
"""rd 8/a. arambag r/a, rupnagar""","""rupnagar"""
"""afroza begum road bashundhara r/a""","""afroza begum road bashundhara r/a"""
"""ranks power tech & trac load head office , gulshan 1""","""gulshan 1"""
"""khan dominno , accpdino , boro moghbazar""","""boro moghbazar"""
"""house 6 , road 9 , block g , banani , dhaka""","""dhaka"""
"""10 north road , [ bhooter goli ] , dhanmondi""","""dhanmondi"""
"""sea shell hotel & party palace , sector 10 uttara""","""sector 10 uttara"""
"""united hospital rd 71 , gulshan 2""","""gulshan 2"""
"""113/3, east rajabazaae christian para , dhanmondi""","""dhanmondi"""
"""road 12 mirpur dohs , mirp[ur 12""","""mirp[ur 12"""
"""aarong gulshan , tejgaon gulshan link rd""","""tejgaon gulshan link rd"""
"""academic dream , h 51 , masjid st , naya paltan""","""naya paltan"""
"""apon ghor , extended pallabi , mirpur 11.5""","""mirpur 11.5"""
"""north end coffee roasters , plot 232-234 , tejgaon industrial area , dhaka-1208""","""dhaka-1208"""
"""12 road 18 section 12""","""12 road 18 section 12"""
"""radio office bangladesh dhaka , administrative area , agargaon""","""agargaon"""
"""park panaroma , 41 , road 5 , dhanmondi r/a""","""dhanmondi r/a"""
"""jisan enterprise, mirpur 7""","""mirpur 7"""
"""h 59 , panthapath""","""panthapath"""
"""the rex , house 227 , sayem sobhan anvir road bashundhara r/a""","""sayem sobhan anvir road bashundhara r/a"""
"""panthapath circle , green rd , panthapath""","""panthapath"""
"""bikrampur villa , h 19 , lake circus , kalabagan""","""kalabagan"""
"""hang 10 burgers block a, mirpur12""","""mirpur12"""
"""comfort diagnostic center , green rd , dhanmondi""","""dhanmondi"""
"""shah ali paribahan counter - technical counter , darus salam , kallyanpur""","""kallyanpur"""
"""magician's street , dhanmondi r/a""","""dhanmondi r/a"""
"""h 541 , sabrina sobhan 4th ave , block 1 , bashundhara r/a""","""bashundhara r/a"""
"""basiruddin rd masjid , basiruddin rd , kalabagan""","""kalabagan"""
"""sohana store , vatara rd , natun  bazar""","""natun  bazar"""
"""f.m.n store , green road , dhanmondi""","""dhanmondi"""
"""23/n , road no. 2 , block d , basundhara r/a""","""basundhara r/a"""
"""bui here now lounge , hazrat shahjalal international airport kurmitola""","""hazrat shahjalal international airport kurmitola"""
"""purbachal ela restaurant and party centre , sector 03""","""sector 03"""
"""jamiul fattah shada majar masjid , dakkhin bishi""","""dakkhin bishi"""
"""44/27 , basiruddin road , dhanmondi""","""dhanmondi"""
"""house 21 road 4 sector 4 uttar a""","""house 21 road 4 sector 4 uttar a"""
"""bird's eye helicopter 7 air service , hazrat shahjalal international airport , kurmitola""","""kurmitola"""
"""international trade fair , sector 04 , purbachal""","""purbachal"""
"""mul 10 block b , mirpur 6""","""mirpur 6"""
"""nandan kanan , 19 , section 2""","""section 2"""
"""nila market , purbachal express highway , tahordia , narayanganj""","""narayanganj"""
"""ema outsourcing & solutions limited ( fmaos ) niketan gulshan 1""","""ema outsourcing & solutions limited ( fmaos ) niketan gulshan 1"""
"""house 430 , road 17 , block a , bashundhara r/a""","""bashundhara r/a"""
"""riders tunnel , sector 17 , uttara""","""uttara"""
"""soptodinga restora , west rajabazar , indira road , panthapath""","""panthapath"""
"""north end coffee roasters evercare hospital , block -e , bashundhara r/a""","""bashundhara r/a"""
"""shanta western tower , tejgaon link rd""","""tejgaon link rd"""
"""santinibas baf officer's quarter internal rd , west nakhalpara , tejgaon""","""tejgaon"""
"""rd 17 , baitul aman housing society , mohammadpur""","""mohammadpur"""
"""fao ectad , monipuripara , tejgaon""","""tejgaon"""
"""plot 521 , rd 13 , block g , basundhara r/a""","""basundhara r/a"""
"""bird's eye helicopter & air service , hazrat shahjalal international airport , kurmitola""","""kurmitola"""
"""m/s. fatema banijjalaya , salimullah road , mohammadpur""","""mohammadpur"""
"""43 , al amin road , dhanmondi""","""dhanmondi"""
"""house 189 , road 6 , block j , bashundhara r/a""","""bashundhara r/a"""
"""bird's eye helicopter 7 air service , hazrat shahjalal international airport , kurmitola""","""kurmitola"""
"""ismaili jamatkhan and centre , sayem sobhan anvir road , block c , badda""","""badda"""
"""xinxian restaurant , h 11 ,  begum rokeya sarani , mirpur 11""","""mirpur 11"""
"""central library ( sau) sher-e - bengla agriculture university""","""central library ( sau) sher-e - bengla agriculture university"""
"""bangladesh film development corporation ( fdc ) , kawran bazar fdc rd , kawranbazar""","""kawranbazar"""
"""faysal traders , block a, mirpur 11""","""mirpur 11"""
"""rd 11 , block c , mirpur 6""","""mirpur 6"""
"""nagar valley hotel , shayestha khan avenue , sector 4, uttara""","""uttara"""
"""trine university bangladesh regional office , residential area , dhanmondi""","""dhanmondi"""
"""barikol head office , pallabi , mirpur""","""mirpur"""
"""senpara parbata rd , mirpur 10""","""mirpur 10"""
"""dekko readywears ltd , mirpur 7""","""mirpur 7"""
"""rd 4 , mirpur 2""","""mirpur 2"""
"""setara convention hall , h1/11, begum rokeya sarani , block b , mirpur 12""","""mirpur 12"""
"""peshwari tea , house 28 , road 10 , block d, banani""","""banani"""
"""nha garden city shyamoli:building 5 , mohammadpur""","""mohammadpur"""
"""puthi beding store , block d , mirpur 6""","""mirpur 6"""
"""national institute of traumatology and orthopadic rehabilition ,mirpur road , sohrawardi medical college & hospital , s""","""s"""
"""the buffet empire , west , dhanmondi""","""dhanmondi"""
"""navana zohura square , kazi nazrul islam ave , banglamotor , shshbag""","""shshbag"""
"""pallabi talimul kuran madrasa , 2c/ 10 , raod 1 , section 7""","""section 7"""
"""vertical horizon , 31/a, road 5 , dhanmondi r/a""","""dhanmondi r/a"""
"""este medical bangladesh , block b banani""","""block b banani"""
"""rd 9 , block c, bashundhara r/a""","""bashundhara r/a"""
"""gulshan grace , h 8 , bir uttam ak khandaker rd gulshan 1""","""bir uttam ak khandaker rd gulshan 1"""
"""m rahman electric , gulshan 2 , gulshan""","""gulshan"""
"""evercare hospital dhaka""","""evercare hospital dhaka"""
"""h 1016, r 17 , adabor mohammadpur dhaka""","""adabor mohammadpur dhaka"""
"""health and hope specialized hospital panthapath""","""health and hope specialized hospital panthapath"""
"""flat 101,building 20,japan garden city,mohammadpur,dhaka 1207""","""dhaka 1207"""
"""bismillah pharmacy,38/c,rd 7,abdul rafiq housing,adabar""","""adabar"""
"""ekhane kutta league thake,folpotti golchottor,mirpur""","""mirpur"""
"""sigree , h 1, rd 12 , block b, mirpur 12""","""mirpur 12"""
"""shahin haqe , 41 road 2 block c , bashundhara r/a""","""bashundhara r/a"""
"""concord tower,lalbag rd""","""lalbag rd"""
"""comilla chotpoti house,south kuril""","""south kuril"""
"""shwapno,azimpur,lalbagh""","""lalbagh"""
"""hosue 638, road 22, block j , bashundhara r/a""","""bashundhara r/a"""
"""metro fashion express,road 5,block g,banani""","""banani"""
"""moslem enterprise,khaje dewan,lalbagh""","""lalbagh"""
"""rose castle 71 , road no 5, block d, bashudnhara r/a""","""bashudnhara r/a"""
"""jamuna plaza,al haj abdus sobhan rd,nikunja 1,badda""","""badda"""
"""samson h chowdhury centre m shahbag , ramna""","""ramna"""
"""ladies club auditorium,eskaton garden rd,old eskaton""","""old eskaton"""
"""dhaka bank , new eskaton rd , banglamotor""","""banglamotor"""
"""h 430,rd 3,adabor""","""adabor"""
"""kuril bissoroad bus stop,kuril,dhaka""","""dhaka"""
"""bashundhara chandrima , 435, a/b , road no 17 , block a, bashundhara r/a""","""bashundhara r/a"""
"""hasan heritage,h 18,rd 5,dhanmondi""","""dhanmondi"""
"""bd24report.com,west rajabazar,indira road,panthapath""","""panthapath"""
"""lamiya autos ltd,h 13/3,hazi chinu mia rd,mohammadpur""","""mohammadpur"""
"""dhaka university journalist association (duja) shahbag""","""dhaka university journalist association (duja) shahbag"""
"""international trade fair,sector 4,purbachal""","""purbachal"""
"""biztechhub,begum rokeya sharani,harunabad,mirpur 12""","""mirpur 12"""
"""mirpur 1""","""mirpur 1"""
"""porshi , h 130/1, rd 8 , mohammadpur""","""mohammadpur"""
"""44,road 5,nikunja 2""","""nikunja 2"""
"""saiful general store,malibagh shahi mosjid,malibagh""","""malibagh"""
"""ibn sina diagonistic & imaging center,h 48,rd 9a,dhanmondi""","""dhanmondi"""
"""sumon plaza , senpara bparbata , mirpur 10""","""mirpur 10"""
"""independent university bangladesh(iub),bashundhara r/a""","""bashundhara r/a"""
"""bhulta,bhulta highway,rupganj,narayanganj""","""narayanganj"""
"""ashalota,new airport rd,dhaka cantonment""","""dhaka cantonment"""
"""seven eleven,mirpur rd,kalabagan""","""kalabagan"""
"""city bank atm,maruf market,mouchak,rajarbagh,malibagh""","""malibagh"""
"""hotel toky pacific,road 2,sector 7,uttara""","""uttara"""
