Unnamed: 0,Pickup Point,Pickup Area
2417,"PLAN CONSULTANCY FIRM , BOSILA  GARDEN CITY , MOHAMMADPUR",Mohammadpur
2418,"COMPOSITE STEEL STRUCTURE LTD , HOUSE 320 , ROAD 21 , MOHAKHALI DOHS , MOHAKHALI",Mohakhali
2420,"H 44, TOYENBEE CIRCULAR RD , FAKIRAPOOL",Fakirapool
2421,"H 44, RD 1, BLOCK A, BASHUNDHARA R/A",Bashundhara R/A
2422,"RD 13 , SECTOR 13 , UTTARA",Uttara
2424,"INDULGE, GULSHAN 2, GULSHAN",Gulshan
2427,"MIRPUR DOHS CENTRAL MASJID , MIRPUR DOHS MAIN RD , MIRPUR DOHS",Mirpur
2430,"HOUSE 2, ROAD 19, SECTOR 11, UTTARA",Uttara
2432,"VILLA SHAZADI , RESIDENTIAL AREA, DHANMONDI",Dhanmondi
2440,"SHAPLA BEAUTY PARLOUR , H 2/17 , NURJAHAN RD , MOHAMMADPUR",Mohammadpur
2441,"SOVEREIGN , H 4 , RD 18 , BANANI",Banani
2442,"ALL HAJJ MD . HAJRARALI , JA  44 , GULSHAN LINK ROAD , DAKKHIN BADDA , GULSHAN",Gulshan
2443,"ROAD NO 18 , BLOCK A , BASUNDHARA R/A",Bashundhara
2444,"JAHANARA GARDEN , SECTOR 4 , UTTARA",Uttara
2446,"SHOHANG AC COUNTER , MOUCHAK MARKET , MALIBAGH",Malibagh
2449,"AFROZA BEGUM RD , BLOCK  I  , BASUNDHARA R/A",Bashundhara
2450,"ACI ELECTRONICS , PANTHAPATH",Panthapath
2451,"M A SATTAR , H 16 , RD 2 , PC CULTURE HOUSING SOCIETY , MOHAMMADPUR",Mohammadpur
2453,"LAILY MANSION , SOUTH AZAMPUR ( MUNSHI MARKET  ) , UTTARA",Uttara
2454,"CHEVRON BANGLADESH HQ , GULSHAN 2 , GULSHAN",Gulshan
