last part,Pickup Area,Pickup Point
bashundhara r/a,Bashundhara R/A,"""42, sarak , 10 1, bashundhara r/a"""
mohammadpur,Mohammadpur,"""park palace,h 1/18,humayun road,mohammadpur"""
mohammadpur,Mohammadpur,"""mahmudas dream house,adabar,mohammadpur"""
khilgaon,Khilgaon,"""h 259.rd 9,khilgaon"""
mohammadpur,Mohammadpur,"""senbag house,h 54/4,rd 4,pc culture housing society,mohammadpur"""
gulshan,Gulshan,"""lima thai spa massage , gulshan 2 , gulshan"""
uttara,Uttara,"""rd 10a,sector 11,uttara"""
mohammadpur,Mohammadpur,"""babar bari,road 11,mohammadia housing society,mohammadpur"""
uttara,Uttara,"""house building bus stop,sector 6,uttara"""
bashundhara r/a,Bashundhara R/A,"""sakina's kitchenette , block f , bashundhara r/a"""
uttara,Uttara,"""artisan [pearl , sector 1, uttara"""
basundhara r/a,Bashundhara,"""house 22/1,road 1,block d, basundhara r/a"""
mirpur dohs,Mirpur,"""mirpur dohs central masjid,mirpur dohs main rd,mirpur dohs"""
uttara,Uttara,"""house 8 , road 6 , sector 3, uttara"""
bashundhara r/a,Bashundhara R/A,"""289, road 1 , block d , bashundhara r/a"""
motijheel,Motijheel,"""new shajada hardware , kamalapur rd , motijheel"""
panthapath,Panthapath,"""jamuna bank limited atm,rajabazar,panthapath"""
dhanmondi,Dhanmondi,"""upoharbox , residential area , dhanmondi"""
malibagh,Malibagh,"""joly's nokshi roj , 243 , outer circular road , malibagh shahi moshjid , malibagh"""
mohammadpur,Mohammadpur,"""krishi market rd,mohammadpur"""
dhanmondi,Dhanmondi,"""shankar bus tsand , dhanmondi"""
dhanmondi,Dhanmondi,"""green life medical college,green road,dhanmondi"""
mirpur 2,Mirpur,"""popular communication , block f, mirpur 2"""
gulshan,Gulshan,"""planet freight services ltd , gulshan 2 , gulshan"""
bashundhara r/a,Bashundhara R/A,"""business point , block i , bashundhara r/a"""
banani dohs,Banani,"""csd , rd 2, banani dohs"""
bashundhara r/a,Bashundhara R/A,"""trans asia integrate services ltd , madani avenue , bashundhara r/a"""
banani,Banani,"""mak 84 , block d, banani"""
kalabagan,Kalabagan,"""divine restora & mini chinese , lake circus road , kalabagan"""
bashundhara r/a,Bashundhara R/A,"""harun's k 26 , shahid abdul aziz rd , block a, bashundhara r/a"""
mohammadpur,Mohammadpur,"""shyamoli square shopping mall , mohammadpur"""
khilgaon,Khilgaon,"""h 213 , rd 7 , khilgaon"""
uttara,Uttara,"""zam zam restaurant , h 5 , rd 13 , sector 4 , uttara"""
dhanmondi,Dhanmondi,"""concord manor , residential area , dhanmondi"""
uttara,Uttara,"""coatex chemicels , house 10 . road 2, sector 9 , uttara"""
uttara,Uttara,"""meena sweets ,sector 14, uttara"""
gulshan,Gulshan,"""china garden restaurant limited , road 101 , gulshan 2 , gulshan"""
bashundhara r/a,Bashundhara R/A,"""swargasaya group , block g , bashundhara r/a"""
dhanmondi,Dhanmondi,"""president's glory arcadia , green road , dhanmondi"""
mohammadpur,Mohammadpur,"""madobilota , h 164 , rd 3 , mohammadi housing ltd , mohammadpur"""
mohammadpur,Mohammadpur,"""kabir tailors and embroidery , lalmatia , mohammadpur"""
gulshan,Gulshan,"""jaq & hi ltd , road -24, gulshan 1, gulshan"""
uttara,Uttara,"""etcsourcingbd , sector 3, uttara"""
uttara,Uttara,"""samrat electronics , sector 10 , uttara"""
uttara,Uttara,"""readi- research evaluation and development initiative , road 7/c , sector 9 , uttara"""
mohammadpur,Mohammadpur,"""h 155, khilji rd , mohammadpur"""
uttara,Uttara,"""duranta sports gallery , dakkhin khan , gawair , dakkhinkhan , uttara"""
agargaon,Agargaon,"""eastern bank limited atm , administrative area , agargaon"""
dhanmondi,Dhanmondi,"""kalabagna bus stop , mirpur rd , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""confucius institute at north south university , block b ,bashundhara r/a"""
mohammadpur,Mohammadpur,"""reza auto dry cleaners , h 26/1 , tajmahal rd , mohammadpur"""
gulshan,Gulshan,"""gulshan police checkpost , road 92, gulshan 2 , gulshan"""
mohammadpur,Mohammadpur,"""the premier bank limited , lalmatia , mohammadpur"""
panthapath,Panthapath,"""help line travels & tours , panthapath"""
paltan,Paltan,"""navana somerest , 14/4, 45 , chamilibagh , dokkhin shahjahanpur , paltan"""
gulshan,Gulshan,"""dao xiang cun , 32 road 100 , gulshan 2, gulshan"""
basundhara r/a,Bashundhara,"""h 93 , rd 3 ,block c , basundhara r/a"""
section 2,Mirpur,"""santi kunjo , 2 1 , avenue 2 , section 2"""
dhaka 1229,Khilkhet,"""arshee , house 183 , road 8 , block c , bashundhara r/a , dhaka 1229"""
paltan,Paltan,"""dc building , ,aolana bhasani road , fakirapool , paltan"""
gulshan,Gulshan,"""korean thai spa gulshan , gulshan 2 ,  gulshan"""
basundhara r/a,Bashundhara,"""552 , i block road 2 , basundhara r/a"""
pallabi,Pallabi,"""baitul aman jame masjid , h 2 , rd 5 , pallabi"""
gulshan,Gulshan,"""rupayan golden age , 99 , gulshan avenue , gulshan 2 , gulshan"""
mohammadpur,Mohammadpur,"""ariyan's frame  , chandmiya , housing , mohammadpur"""
uttara,Uttara,"""rd 1a , block k , uttara"""
dhanmondi,Dhanmondi,"""khanas , jigatola , dhanmondi"""
uttara,Uttara,"""purbasha paribahan , sector  9 , uttara"""
basundhara r/a,Bashundhara,"""609,road no 7, basundhara r/a"""
basundhara r/a,Bashundhara,"""rd 18,block e,basundhara r/a"""
panthapath,Panthapath,"""gadget monkey bd,panthapath"""
mirpur,Mirpur,"""dosa garden,agargaon,mirpur"""
basundhara r/a,Bashundhara,"""plot 134,rd 12,block g,basundhara r/a"""
paltan,Paltan,"""babylonia,116,kazi office lane,wireless,paltan"""
section 12,Mirpur,"""road 4/6,section 12"""
bashundhara r/a,Bashundhara R/A,"""51/g,  road 4,  block d,  bashundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""h 43/a,  ahmed akbar sobhan ave,  block d,  bashundhara r/a"""
uttara,Uttara,"""remix collections limited,  gareeb e nawaz avenue,  sector 13,  uttara"""
uttara,Uttara,"""moharaja sweets,  rd 1b,  sector 9 ,  uttara"""
khilgaon,Khilgaon,"""khilgaon city corporation building,rd 9,khilgaon"""
mohammadpur,Mohammadpur,"""xaverian house,h 24/b,asad ave,mohammadpur"""
basundhara r/a,Bashundhara,"""prof dr atahar ali cardiologist electrophysiologist and heart failure specialist,block e,basundhara r/a"""
mirpur 2,Mirpur,"""a k udayan,house 17,road 5,block c,mirpur 2"""
uttara,Uttara,"""imcd bangladesh private limited,sector 6,uttara"""
uttara,Uttara,"""food yard,h 62,gareeb e newaz ave,sector 11,uttara"""
panthapath,Panthapath,"""bandbox,panthapath"""
basundhara r/a,Bashundhara,"""37/a,road 3,block d, basundhara r/a"""
mohammadpur,Mohammadpur,"""shahid sohrawardi medical college,mirpur rd,mohammadpur"""
uttara,Uttara,"""rd 10 , sector 3 , uttara"""
bashundhara r/a,Bashundhara R/A,"""house 600 , block g , bashundhara r/a"""
uttara,Uttara,"""nobility , sector 10 , uttara"""
dhanmondi,Dhanmondi,"""metro shopping mall,mirpur rd,dhanmondi"""
uttara,Uttara,"""jasimuddin bus stop , dhaka mymensingh highway , sector 3 , uttara"""
basundhara r/a,Bashundhara,"""461,i block road 1,basundhara r/a"""
uttara,Uttara,"""house 1, road 10 , sector 3, uttara"""
uttara,Uttara,"""kalam tea store , middle ajampur , uttara"""
uttara,Uttara,"""house 43 , road 07 , sector 04 , uttara"""
basundhara r/a,Bashundhara,"""international school dhaka sayem sobhan anvir road,blocl d,basundhara r/a"""
motijheel,Motijheel,"""tasty treat , naya paltan, motijheel"""
section 2,Mirpur,"""road 6 , section 2"""
bashundhara r/a,Bashundhara R/A,"""shantidhara  chayanir guest house for apollo patient , block e , bashundhara r/a"""
mirpur,Mirpur,"""anisha-ambulance service 24 hours , kallyanpur , mirpur"""
mohammadpur,Mohammadpur,"""mim planning view , zafrabad ,  mohammadpur"""
gulshan 1,Gulshan,"""ciatle suites & resort dhaka , gulshan 1"""
mohammadpur,Mohammadpur,"""hossain housing society , shyamoli , mohammadpur"""
gulshan,Gulshan,"""lake view clinic , road 79 , gulshan 2 , gulshan"""
west dholaipar,Dholairpar,"""new bismillah battery & tyre , west dholaipar"""
sector 2,Purbachal,"""hazrat shahjalal international  airport, terminal 1, airport road , new airport road , kurmitola , sector 2"""
mohakhali,Mohakhali,"""hairbar mohakhali , house 162 , road 3 , mohakhali dohs , mohakhali"""
mohammadpur,Mohammadpur,"""h 25/2 , hassain saheb ln , jafrabad , mohammadpur"""
basundhara r/a,Bashundhara,"""shopno nibash , 12 /a , road no . 17 , basundhara r/a"""
uttara,Uttara,"""cha-darbar , diyabari , uttara"""
panthapath,Panthapath,"""codecrafter international , h 17/c , panthapath"""
mirpur,Mirpur,"""taxteam_bd , dohs , mirpur"""
sector 2,Purbachal,"""kurmitola , sector 2"""
shahjadpur,Shahjadpur,"""bismillah telecom center , east nurerchala , shahjadpur"""
section 12,Mirpur,"""needle cafe , 115 , road 3 , section 12"""
basundhara r/a,Bashundhara,"""k.r villa , house 305 , road no.12 , block c , basundhara r/a"""
gulshan,Gulshan,"""representation of liberland in bangladesh , gulshan 2 , gulshan"""
uttara,Uttara,"""zam zam tower , sector 13 , uttara"""
nikunja 2,Nikunja,"""2 , kobi faruk sharani , nikunja 2"""
uttara,Uttara,"""mosharraf tea stall , turag  tir , uttara"""
pallabi,Pallabi,"""pallabi r/a rd , block a , pallabi"""
bashundhara r/a,Bashundhara R/A,"""aiub student lounge , sayem sobhan anvir road , bashundhara r/a"""
mohammadpur,Mohammadpur,"""shams tower , 2/6 , block c , shajahan road , mohammadpur"""
dhanmondi,Dhanmondi,"""bar b q tonight , road 16 ( new ) , dhanmondi"""
paltan,Paltan,"""mohi  an , 11/6, siddeswari lane  wireless , paltan"""
uttara,Uttara,"""sharin complex , h 11/a, rd 14c, sector 4, uttara"""
dhanmondi,Dhanmondi,"""shimanto convention center , residential area , dhanmondi"""
mohammadpur,Mohammadpur,"""ibad medical lab , h 2/18 , babar rd , mohammadpur"""
bashundhara r/a,Bashundhara R/A,"""aristocracy , 396,        road no 15 , block a , bashundhara r/a"""
dhanmondi,Dhanmondi,"""kiron pharmacy , west , dhanmondi"""
uttara,Uttara,"""nandan dewan park , sector 4, uttara"""
section 12,Mirpur,"""62, road 7 , section 12"""
uttara,Uttara,"""pizza tizza , sector 7 , uttara"""
panthapath,Panthapath,"""bismillah variety store , h 58/1 , panthapath"""
mohammadpur,Mohammadpur,"""saimun juice & coffee house , ring road , mohammadpur"""
uttara,Uttara,"""s. rahman dental care , sector 14 ,uttara"""
banani,Banani,"""civil aiation officers quarter , block k , banani"""
uttara,Uttara,"""younic home , sector 5, uttara"""
uttara,Uttara,"""apu pharmacy , sector 9 , uttara"""
uttara,Uttara,"""jamuna bank  limited atm , sector 7 , uttara"""
dhanmondi,Dhanmondi,"""fair bond ltd , rd 27 , dhanmondi"""
banani,Banani,"""sundora beauty ventura , block e, banani"""
mirpur,Mirpur,"""projapoti tower,eastern housing,mirpur"""
uttara,Uttara,"""lords and english medium school,house 24,road 28,sector 7,uttara"""
basundhara r/a,Bashundhara,"""basundhara i block helipad,block i,basundhara r/a"""
uttara,Uttara,"""decathlon,dhaka(production office),
sector 7,uttara"""
uttara,Uttara,"""house 55,road 3,sector 13,uttara"""
uttara,Uttara,"""apu pharmacy,sector 9,uttara"""
banani,Banani,"""tastebud,road 12a,block h,banani"""
basundhara r/a,Bashundhara,"""touch stone,h 411,aftab uddin ahmed rd,block b,basundhara r/a"""
uttara,Uttara,"""angan florella,sector 4,uttara"""
basundhara r/a,Bashundhara,"""kolorob,block k,basundhara r/a"""
basundhara r/a,Bashundhara,"""rd 6,block g,basundhara r/a"""
uttara,Uttara,"""sea shell hotel and restaurant,sector 4,uttara"""
mohammadpur,Mohammadpur,"""house 3,road 14,chandrima model town,mohammadpur"""
uttara,Uttara,"""classic tailors and fabrics,sector 14,uttara"""
mohammadpur,Mohammadpur,"""21/9,block b,khilji road,mohammadpur"""
uttara,Uttara,"""egrocery by rads,sector 4,uttara"""
dhanmondi,Dhanmondi,"""storm in a cup,road 2,dhanmondi"""
mohammadpur,Mohammadpur,"""town hall (olinda corporation),
salimullah road,mohammadpur"""
uttara,Uttara,"""home trust living ltd,road 14/c,sector 4,uttara"""
dhanmondi,Dhanmondi,"""star bakery & kabab,s j jahanara imam sharani,dhanmondi"""
kalabagan,Kalabagan,"""green rd private primary school , kalabagan 1st lane , kalabagan"""
mohammadpur,Mohammadpur,"""bashbari jame masjid,chan mia housing,bashbari rd,mohammadpur"""
west dhanmondi,Dhanmondi,"""sony ladies tailor,west dhanmondi"""
basundhara r/a,Bashundhara,"""rypayan shopping square,rd 14,block g, basundhara r/a"""
uttara,Uttara,"""hafiz optical centre,rabindra sarani,sector 7,uttara"""
uttara,Uttara,"""abdullahpur bus stop , uttara"""
mohakhali,Mohakhali,"""thailand spa and massage,tb gate,mohakhali"""
uttara,Uttara,"""road-14, sector 6 , uttara"""
uttara,Uttara,"""cafe runway,jashimuddin rd,sector 17,uttara"""
mohammadpur,Mohammadpur,"""optimal it limited,shyamoli,mohammadpur"""
uttara,Uttara,"""kamal car and ac center , road 35 , sector 7 , uttara"""
mohakhali,Mohakhali,"""tanzimul ummah hifz madrasah , mohammadpur branch , girls ' & pre-hifz section , tb hospital , mohakhali"""
basundhara r/a,Bashundhara,"""maati , 35 , road 4 , block d , basundhara r/a"""
dhanmondi,Dhanmondi,"""210, kathal bagan bazar road , dhanmondi"""
gulshan,Gulshan,"""rangs waterfront , gulshan 1, gulshan"""
banani,Banani,"""showoff by tawhid afridi , road 11 , block c, banani"""
uttara,Uttara,"""sea shell restaurant & party palace , sector 4 , uttara"""
uttara,Uttara,"""hous e7 , road 29 , sector 7 , uttara"""
uttara,Uttara,"""house  15 , road 8 , sector 9 , uttara"""
dhanmondi,Dhanmondi,"""transcom , h 28/b , rd 27 , dhanmondi"""
gulshan 1,Gulshan,"""discovery , gulshan 1"""
bashundhara r/a,Bashundhara R/A,"""castelia , house 838 , road 19 , block k , bashundhara r/a"""
uttara,Uttara,"""a-s-s automatic sewing systems bangladesh ltd , sector 9 , uttara"""
basundhara r/a,Bashundhara,"""rd 2 , block c , basundhara r/a"""
panthapath,Panthapath,"""future tour and travels , green road , panthapath"""
uttara,Uttara,"""m/s shams trade international , road 7 , sector 4 , uttara"""
kalabagan,Kalabagan,"""bashir uddin rd , kalabagan"""
basundhara r/a,Bashundhara,"""praeda villa , 777 , road no.21 , basundhara r/a"""
mirpur,Mirpur,"""radda mch -ep centre , block b , section 10 , mirpur"""
basundhara r/a,Bashundhara,"""161 , sarak 6 1 , basundhara r/a"""
dhanmondi,Dhanmondi,"""sheikh jamal dhanmondi club ltd , rd 8 , dhanmondi"""
mohammadpur,Mohammadpur,"""modina hardware , h 13 , shekhertek main es , mohammadpur"""
panthapath,Panthapath,"""assistance for blind children , west rajabazar indira road , panthapath"""
malibagh,Malibagh,"""dom-inno pioggia , malibagh rail gate , malibagh"""
paltan,Paltan,"""biam foundation & auditorium , biam road , wireless , paltan"""
nikunja 2,Nikunja,"""khilkhet traffic , police box , nikunja 2"""
mirpur,Mirpur,"""mukti gate , mukti housing road , dakshin pirerbagh , mirpur"""
banani,Banani,"""yoga bliss , block e , banani"""
bashundhara r/a,Bashundhara R/A,"""elegant home , block d , bashundhara r/a"""
kuril,Kuril,"""rasel barisailla auto electric , bishaw road , kuril"""
motijheel,Motijheel,"""standard chartered bank , motijheel  commercial area  , motijheel"""
banani dohs,Banani,"""river and rain ltd , banani dohs"""
mohammadpur,Mohammadpur,"""opedia technologies limited shaymoli , mohammadpur"""
banani,Banani,"""delifrance , block f , banani"""
mirpur,Mirpur,"""tamim door and furniture , eastern housing , mirpur"""
mohammadpur,Mohammadpur,"""h 24 , rd 5 , pc culture housing society , mohammadpur"""
paltan,Paltan,"""kakoli , 23 , siddeshwari , road wireless , paltan"""
uttara,Uttara,"""uttara preparatory school , road 18 , sector 4 , uttara"""
kalabagan,Kalabagan,"""square hospitals ltd , panthapath rd  , kalabagan"""
dhanmondi,Dhanmondi,"""h 14/a , rd 2 , dhanmondi"""
uttara,Uttara,"""titas gas prepaid pos , shayesta khan avenue , sector 4 , uttara"""
uttara,Uttara,"""movenpick & cafe suisse , house 14 , lake dr road , sector 7 , uttara"""
bashundhara r/a,Bashundhara R/A,"""house 46 , road 14 , block f , bashundhara r/a"""
dhanmondi,Dhanmondi,"""darul gaffar , abashik alaka , dhanmondi"""
gulshan 1,Gulshan,"""zaki musharraf skyline , h 2 , rd 104, gulshan 1"""
banani,Banani,"""house cleaning zone in bd , block e , banani"""
mohammadpur,Mohammadpur,"""deshkal potrika , iqbal road , mohammadpur"""
mohammadpur,Mohammadpur,"""holly rose , 2/8 , road 1 , lalmatia , mohammadpur"""
dhanmondi,Dhanmondi,"""akfc 20no building , green road , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""h-153 r-5 block-c , block c , bashundhara r/a"""
uttara,Uttara,"""house 97,road 13,sector 10,uttara"""
mohammadpur,Mohammadpur,"""dhaka village,road1,dhaka uddan housing,mohammadpur"""
basundhara r/a,Bashundhara,"""h ka 25,shahid abdul aziz rd,block a, basundhara r/a"""
uttara,Uttara,"""goko limited,nalbhog,uttara"""
basundhara r/a,Bashundhara,"""khans residence,block e, basundhara r/a"""
basundhara r/a,Bashundhara,"""top ten mart ltd, al haj abdus sobhan rd,block a,basundhara r/a"""
basundhara r/a,Bashundhara,"""h 53,rd 5,block f,basundhara r/a"""
uttara,Uttara,"""ab bank limited atm,sector 7,uttara"""
basundhara r/a,Bashundhara,"""h 299,rd 7/a,block e,basundhara r/a"""
basundhara r/a,Bashundhara,"""realiance building,h 146,rd 8,block d, basundhara r/a"""
basundhara r/a,Bashundhara,"""road no 18,block a,basundhara r/a"""
uttara,Uttara,"""house 33,road 13,sector 12,uttara"""
nikunja 2,Nikunja,"""rajuk trade center,nikunja 2"""
basundhara r/a,Bashundhara,"""laila & sugars home.block c,
basundhara r/a"""
dhanmondi,Dhanmondi,"""anwar khan modern medical college,house no 14,block b,dhanmondi"""
mirpur,Mirpur,"""shah ali bag rd,shah ali bag,mirpur"""
dhanmondi,Dhanmondi,"""investigation agency international crimes tribunal,road 11a,residential area,dhanmondi"""
basundhara r/a,Bashundhara,"""388,road 7,basundhara r/a"""
uttara,Uttara,"""rangs garden square sector 10,uttara"""
uttara,Uttara,"""sultan bhoj,sector 3,uttara"""
basundhara r/a,Bashundhara,"""100,road 3,block c, basundhara r/a"""
banani,Banani,"""jatra biroti,house 63,road 17/a,block e,banani"""
banani,Banani,"""ocean blend,block f,banani"""
basundhara r/a,Bashundhara,"""bti chestnut,block b,basundhara r/a"""
gulshan,Gulshan,"""familymart , badda girls school road , dakkhin badda , gulshan"""
uttara,Uttara,"""red rose,sector 7,uttara"""
gulshan,Gulshan,"""baro bhuiyan,cwn,3a,road 49,gulshan 2,gulshan"""
basundhara r/a,Bashundhara,"""nrbc ban basundhara,block d,basundhara r/a"""
uttara,Uttara,"""aamarpay , sector 3 , uttara"""
uttara,Uttara,"""sheba green line counter,sector 9,uttara"""
mohammadpur,Mohammadpur,"""navana gh heights,67,new ,satmasjid road,mohammadpur"""
basundhara r/a,Bashundhara,"""rana ave , block d , basundhara r/a"""
west dhanmondi,Dhanmondi,"""agora sat masjid road branch,west dhanmondi"""
banani,Banani,"""sheba nursing home care , block f , banani"""
nikunja 2,Nikunja,"""nikunja levinder beauty parlours,h 48,rd 11,nikunja 2"""
bashundhara r/a,Bashundhara R/A,"""479, road no , 17 , bashundhara r/a"""
dhanmondi,Dhanmondi,"""bangladesh eye hospital , sar masjid rd , dhanmondi"""
uttara,Uttara,"""house 1,road 1,sector 7,uttara"""
panthapath,Panthapath,"""brb hospitals limited , rajabazar , panthapath"""
khilgaon,Khilgaon,"""h 14/3 , rd 22 , tilpapara , khilgaon"""
kalabagan,Kalabagan,"""h 25 , kalabagan 1st ln , kalabagan"""
gulshan,Gulshan,"""london international school , road 1 , block a , gulshan 1 , gulshan"""
uttara,Uttara,"""aeronautical institute of bangladesh,sector 13,uttara"""
section 2,Mirpur,"""payra model school, 1, section 2"""
dhanmondi,Dhanmondi,"""bangladesh enviromental lawyers association ( bela ) , residential area , dhanmondi"""
gulshan,Gulshan,"""chef's table, gulshan 2, gulshan"""
uttara,Uttara,"""j.k refrigeration & engineering co , sector 9 , uttara"""
uttara,Uttara,"""rich people , sector 3 , uttara"""
banani,Banani,"""hawker taizuddin bondhu at gulshan , dhaka , kemal atatruk avenue , banani"""
banani,Banani,"""ztz logistics -coca cola distribution , block a, banani"""
khilgaon,Khilgaon,"""juice factory , h 409/b , rd 45 b , taltola , khilgaon"""
niketon,Niketon,"""robo sapiens production , block d, niketon"""
malibagh,Malibagh,"""sesob food , chowdhuripara , malibagh"""
bashundhara r/a,Bashundhara R/A,"""220 , sarak 8 1 , bashundhara r/a"""
dhanmondi,Dhanmondi,"""raeyr bazar high school , sher e bangla rd , dhanmondi"""
banani,Banani,"""classic ceramis inmdutrial limited  block e, banani"""
uttara,Uttara,"""azampur railgate jame masjid , sector 4 , uttara"""
mohammadpur,Mohammadpur,"""r b  electronics bd , nurjahan road , mohammadpur"""
uttara,Uttara,"""hansa , sector 9 , uttara"""
bashundhara r/a,Bashundhara R/A,"""cozmo cafe & bistro , block g , bashundhara r/a"""
dhanmondi,Dhanmondi,"""akfc 20no building , green road, dhanmondi"""
banani,Banani,"""road 6 banani dphs , banani"""
uttara,Uttara,"""vision trade international , sector 9 , uttara"""
mohammadpur,Mohammadpur,"""university of liberal arts bangladesh (ulab) , mohammadpur"""
gulshan,Gulshan,"""aarong tejgaon gulshan link road , gulshan 1 , gulshan"""
bashundhara r/a,Bashundhara R/A,"""mashallah trade centre , block i , bashundhara r/a"""
uttara,Uttara,"""brothers rent car , sector 9 , uttara"""
banani,Banani,"""matrika group , block l , banani"""
banani,Banani,"""lake view regency , road 1/a, block i , banani"""
mohammadpur,Mohammadpur,"""ekota kunjo , h 185 , rd  5 , mohammadi housing society , mohammadpur"""
uttara,Uttara,"""house 18 , road 12, sector 12, uttara"""
uttara,Uttara,"""creative mind , sector 7 , uttara"""
uttara,Uttara,"""rd 8 , sector 10 , uttara"""
uttara,Uttara,"""bits and bites cafe , h 86 , gausul azam ave , sector 14 , uttara"""
uttara,Uttara,"""richman lubnan , sector 8 , uttara"""
uttara,Uttara,"""joynal tower , road 5 , dewanpara , uttara"""
mohammadpur,Mohammadpur,"""ma general store , ekbal road , mohammadpur"""
motijheel,Motijheel,"""dutch-bangla bank limited local office , dilkusha , motijheel"""
uttara,Uttara,"""tommys hotdog , sector -7 , uttara"""
mirpur,Mirpur,"""hilsa security limited , dohs , mirpur"""
gulshan,Gulshan,"""united makkah madina travel and assistance company limited , road 90 , gulshan 2, gulshan"""
mohammadpur,Mohammadpur,"""pantoneer,7/3,block d,aurangzeb road,mohammadpur"""
dhanmondi,Dhanmondi,"""dutch bangla bank ltd atm,h 500/a/1(old),rd 8,dhanmondi"""
basundhara r/a,Bashundhara,"""igadget,block c, basundhara r/a"""
gulshan,Gulshan,"""labaid pharma,13/a,road 35,gulshan 2,gulshan"""
gulshan,Gulshan,"""rahman neer,11,road 109,gulshan 2,gulshan"""
gulshan,Gulshan,"""zabbra tower,bir uttam mir shawkat sarak,dakkhin badda,gulshan"""
gulshan 1,Gulshan,"""haque plaza,h 7,bir uttam ak khandakar rd,gulshan 1"""
uttara,Uttara,"""ajompur rail gate,sector 4,uttara"""
section 2,Mirpur,"""32,road 11,section 2"""
dhanmondi,Dhanmondi,"""shukrabad high school goli,dhanmondi"""
dhanmondi,Dhanmondi,"""dr serajoom munira,residential area,dhanmondi"""
uttara,Uttara,"""uttara adhunik medical college hospital,sonargaon,janapath,sector 9,uttara"""
mohakhali,Mohakhali,"""vertex prominent,ga 16/1,mohakhali school rd,mohakhali"""
malibagh,Malibagh,"""exim bank limited,baganbari,malibagh"""
gulshan,Gulshan,"""san classic,7,road 101,gulshan 2,gulshan"""
shahjadpur,Shahjadpur,"""cambrian school and college,pragoti sarani,shahjadpur"""
mohakhali,Mohakhali,"""centre for peace and justice , brac university , wireless gate , mohakhali"""
mohammadpur,Mohammadpur,"""house 41/14, road 3 , mohammadia housing limited , mohammadpur"""
banani,Banani,"""espresso house,road 17,block c,banani"""
mohammadpur,Mohammadpur,"""x13, razia sultana rd , mohammadpur"""
panthapath,Panthapath,"""sweet baby,panthapath"""
uttara,Uttara,"""best shirts ltd head office , sector 4 , uttara"""
uttara,Uttara,"""aarong , 7 jashimuddin ave ,  sector 3 , uttara"""
uttara,Uttara,"""ak tower , h 113/c, dhaka mymensingh highway , sector 4 , uttara"""
uttara,Uttara,"""mrs rafiqul  furniture , sector 10 , uttara"""
mohammadpur,Mohammadpur,"""thai she beauty salon , iqbal road , mohammadpur"""
uttara,Uttara,"""rahima dadir cha khana ,abdullahpur , uttara"""
mohammadpur,Mohammadpur,"""h 16/12 , tikkapara rd , mohammadpur"""
dhanmondi,Dhanmondi,"""satya bazar , sobhan bag, dhanmondi"""
basundhara r/a,Bashundhara,"""friends dream , 169 , road 4 , block d , basundhara r/a"""
dhanmondi,Dhanmondi,"""tawai , road 3/a, dhanmondi"""
mohammadpur,Mohammadpur,"""13c/1c , block b , babor road , mohammadpur"""
dhanmondi,Dhanmondi,"""assurance mahbub , 24 , north circular road , dhanmondi"""
nikunja 2,Nikunja,"""kichukhon villa , 54 , road 6 , nikunja 2"""
uttara,Uttara,"""mr pizza , sector 7 , uttara"""
uttara,Uttara,"""uttara club , road-08 , sector -01 , uttara"""
mirpur,Mirpur,"""kk residence , dohs , mirpur"""
banani,Banani,"""house 78 , road 7 , block h , banani"""
fakirapool,Fakirapool,"""computer resource , tpyenmbee circular rd , fakirapool"""
mohakhali,Mohakhali,"""auto mate , zantrik digital garage , arjotpara , mohakhali"""
uttara,Uttara,"""popular diagnostics center ltd , road 7 , sector 4 , uttara"""
pallabi,Pallabi,"""rd 19/3 , rupnagar , pallabi"""
gulshan,Gulshan,"""unimart , gulshan 1, gulshan"""
mohakhali,Mohakhali,"""apurbo jal khabar , amtoli , mohakhali"""
paltan,Paltan,"""intercontintental dhaka , 1 , minto road , wireless , paltan"""
dhanmondi,Dhanmondi,"""dr. m . nuruzzaman khan ..
endoscopic spine surgeon , green road , dhanmondi """
khilgaon,Khilgaon,"""raju rent -a-car tilapara , khilgaon"""
banani,Banani,"""nagar shama homes , road 1 , block i ,banani"""
west dhanmondi,Dhanmondi,"""wahid dry cleaners and stationary , h 25/2 , sher e bangla rd , tali office , west dhanmondi"""
kalabagan,Kalabagan,"""squarer hospital ltd , panthapath rd , kalabagan"""
mirpur 2,Mirpur,"""ebl 365 , 60 feet rd , borobag , mirpur 2"""
dhanmondi,Dhanmondi,"""atcl, mirpur road , dhanmondi"""
gulshan,Gulshan,"""the city bank , road 113/a, gulshan"""
dhanmondi,Dhanmondi,"""akankha anando , 48 , dolphin goli , dhanmondi"""
mirpur,Mirpur,"""aysha car hut , road 29 , mirpur cantonment , mirpur"""
paltan,Paltan,"""jonaki cinema hall lane , fakirapool , paltan"""
uttara,Uttara,"""sawapno , rd 2 , sector 11 , uttara"""
niketon,Niketon,"""sheltech lake breeze, block c, niketon"""
banani dohs,Banani,"""the professional network & link tpnl , rd 4 , banani dohs"""
uttara,Uttara,"""house 38 , road 10 , sector 11 , uttara"""
basundhara r/a,Bashundhara,"""apollo hospital basement masjid , h 81 , sts ave , block e , basundhara r/a"""
uttara,Uttara,"""baitul azam jame masjid , rd 12 , sector 4 , uttara"""
