location,area
"""H 22, RD 7, KADERABAD HOUSING, MOHAMMADPUR""",Mohammadpur
"""CHEESY SLICE, MIRPUR CANTONMENT""",Mirpur
"""19, ROAD 120, BANANI, GULSHAN""",Gulshan
"""MITHAI MALIBAG COMMUNITY CENTER, CHOWDHURIPARA, MALIBAGH""",Malibagh
"""POLICE CONVENTION HALL, OLD ELEPHANT ROAD, WIRELESS, PALTAN""",Paltan
"""ROAD 96, GULSHAN 2, GULSHAN""",Gulshan
"""RIJIYA BHAVAN, H 2/GA, HABIBULLAH RD, SHAHBAG""",Shahbagh
"""REEN HOMES, H 10/7, IQBAL RD, MOHAMMADPUR""",Mohammadpur
"""ANOSHUA, H 59, RD 25, BANANI""",Banani
"""PACIFIC ASSOCIATES LTD, ROAD 114, GULSHAN AVE, GULSHAN 2""",Gulshan
"""CP FIVE STAR, H 99/2, AZIMPUR RD, AZIMPUR""",Azimpur
"""160, HATIRPOOL, DHANMONDI R/A, PALTAN""",Hatirpool
"""82/12, SOUTH BARONTEK, DHAKA 1206""",Not Classified
"""YOUNG FOREVER, ROAD 06, BANANI DOHS, BANANI""",Banani
"""DHAKA COMMERCE COLLEGE, COMMERCE COLLEGE ROAD, SECTION 2""",Mirpur
"""ASIA LING APPARELS (BD) LTD, SECTOR 7, UTTARA""",Uttara
"""HUIGH PARK RESIDENCE, H 99, VIQARUNNESA RD, SHIDDESWARI""",Siddheshwari
"""SUNBEAM CAFE, 38A, ROAD 103, GULSHAN 2""",Gulshan
"""ABDUL GHANI LODGE, 23/P, ROAD NO. 2, BLOCK D, BASHUNDHARA R/A""",Bashundhara
"""AZIMPUR CHAPRA MASJID, AZIMPUR CHAPRA MASJID RD, AZIMPUR""",Azimpur
"""CPM (CENTER FOR PHYSIOTHERAPY AND MOBILITY), MALIBAGH RAIL GATE, MALIBAGH""",Malibagh
"""HOUSE 66, ROAD 2, BLOCK A, NIKTEN, GULSHAN""",Niketan
"""ROAD 131, DAKKHIN BADDA, GULSHAN""",Badda
"""SHIKDER BARI, EASTERN HOUSING, GOLDEN STREET, SHYMOLI, MOHAMMADPUR""",Mohammadpur
"""BLOCK I, BASHUNDHARA R/A""",Bashundhara
"""DEWAN CO, 109, DIT ROAD, MALIBAGH RAIL GATE, MALIBAGH""",Malibagh
"""SABAAH PHARMA, SECTOR 3, UTTARA""",Uttara
"""NILAMBAR CORPORATION, BLOCK F, BANANI""",Banani
"""RD 7, BLOCK E, MIRPUR 1""",Mirpur
